launch_id,date,year,month,rocket,launch_site,country,operator,mission_type,orbit,payload_mass_kg,n_payloads,launch_success,failure_mode,crewed,crew_size,booster_reused,launch_cost_m_usd,rocket_era,rocket_type
SL000092,2009-08-09,2009,8,Taurus,SpaceX Starbase (Boca Chica),USA,Orbital Sciences,Commercial Satellite,GTO,601,1,0,structural failure,0,0,0,35.6,Post-Cold War,orbital
SL000093,1988-11-04,1988,11,Ariane 4,Kourou ELA-4 (Ariane 6),Europe,Arianespace,Rideshare,SSO,1580,1,1,,0,0,0,,Post-Cold War,orbital
SL000094,1985-04-12,1985,4,Juno I,Cape Canaveral SLC-40,USA,Army,Military Reconnaissance,SSO,4,1,1,,0,0,0,,Cold War,orbital
SL000095,1981-03-18,1981,3,Scout,Cape Canaveral SLC-40,USA,LTV,Communications,MEO,43,1,1,,0,0,0,,Cold War,orbital
SL000096,2002-09-22,2002,9,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Military Reconnaissance,LEO,8140,1,0,engine failure,0,0,0,116.2,Modern,orbital
SL000097,1984-02-14,1984,2,Soyuz 11A511,Baikonur Cosmodrome,USSR,OKB-1,Navigation/GPS,GEO,2649,1,1,,0,0,0,,Cold War,orbital
SL000098,1968-09-22,1968,9,Vanguard,Wallops Flight Facility,USA,NRL,Human Spaceflight,LEO,2,1,1,,1,6,0,,Cold War,orbital
SL000099,1970-10-12,1970,10,Scout,Wallops Flight Facility,USA,LTV,Earth Observation,GEO,58,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000100,2023-05-05,2023,5,GSLV Mk III (LVM3),Satish Dhawan Space Centre,India,ISRO,Space Station Module,LEO,2778,1,1,,0,0,0,89.9,Modern,orbital
SL000101,2022-12-23,2022,12,Titan II GLV,Cape Canaveral SLC-41,USA,USAF,Weather,SSO,1233,1,1,,0,0,0,,Cold War,orbital
SL000102,2009-03-05,2009,3,Atlas-Centaur,Kapustin Yar Site 86,Other,GD,Technology Demonstration,GEO,1290,1,1,,0,0,0,,Cold War,orbital
SL000103,1979-06-21,1979,6,Jupiter-C,Mahia Peninsula LC-1,USA,Army,Communications,GEO,5,1,1,,0,0,0,,Cold War,suborbital
SL000104,2024-12-20,2024,12,New Shepard,Kennedy Space Center LC-39A,USA,Blue Origin,Space Station Module,LEO,0,1,1,,0,0,0,0.6,New Space,suborbital
SL000105,2015-06-19,2015,6,Vanguard,Mahia Peninsula LC-1,USA,NRL,Space Station Resupply,LEO,1,1,0,engine failure,0,0,0,,Cold War,orbital
SL000106,2011-07-16,2011,7,SLV,Satish Dhawan Space Centre,India,ISRO,IoT/Cubesat,SSO,9,1,1,,0,0,0,,Cold War,orbital
SL000107,1989-07-27,1989,7,Lambda 4S,Uchinoura Space Center,Japan,ISAS,Scientific,SSO,10,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000108,1979-10-09,1979,10,Juno I,Wallops Flight Facility,USA,Army,Communications,GTO,1,1,1,,0,0,0,,Cold War,orbital
SL000109,1968-05-04,1968,5,Voskhod,Plesetsk Cosmodrome,USSR,OKB-1,Human Spaceflight,ISS,1832,1,1,,1,6,0,,Cold War,orbital
SL000110,2022-03-15,2022,3,Kuaizhou-1A,Jiuquan Satellite Launch,China,CASIC,Earth Observation,GTO,56,1,1,,0,0,0,4.5,New Space,small-sat
SL000111,1989-09-06,1989,9,Titan IV,SpaceX Starbase (Boca Chica),USA,Lockheed,Rideshare,LEO,5702,1,1,,0,0,0,419.3,Post-Cold War,orbital
SL000112,1975-09-26,1975,9,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,Navigation/GPS,MEO,1386,1,1,,0,0,0,,Cold War,orbital
SL000113,1981-05-09,1981,5,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,LEO,96,1,1,,0,0,0,,Cold War,orbital
SL000114,1998-07-07,1998,7,Long March 2D,Xichang Satellite Launch,China,CASC,Defense/Intelligence,SSO,802,1,1,,0,0,0,15.7,Modern,orbital
SL000115,1973-04-17,1973,4,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Scientific,SSO,1067,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000116,2020-05-13,2020,5,Long March 4B,Jiuquan Satellite Launch,China,CASC,IoT/Cubesat,LEO,449,20,1,,0,0,0,21.4,Modern,orbital
SL000117,2014-08-05,2014,8,Ariane 5 ECA,Kourou ELA-4 (Ariane 6),Europe,Arianespace,Commercial Satellite,GEO,2444,1,1,,0,0,0,182.1,Modern,orbital
SL000118,2011-09-20,2011,9,Long March 1,Taiyuan Satellite Launch,China,CASC,IoT/Cubesat,SSO,32,1,1,,0,0,0,,Cold War,orbital
SL000119,1988-08-27,1988,8,Ariane 1,Kourou ELS (Vega),Europe,CNES,Technology Demonstration,GEO,277,1,1,,0,0,0,,Cold War,orbital
SL000120,2002-08-28,2002,8,Delta IV Medium,Cape Canaveral SLC-41,USA,Boeing,Interplanetary,Interplanetary,1254,1,1,,0,0,0,166.6,Modern,orbital
SL000121,1998-03-01,1998,3,Mu-4S,Uchinoura Space Center,Japan,ISAS,Lunar,TLI,29,1,1,,0,0,0,,Cold War,orbital
SL000122,2005-05-27,2005,5,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Earth Observation,LEO,9798,1,1,,0,0,0,102.3,Modern,orbital
SL000123,1967-02-13,1967,2,Vanguard,Cape Canaveral SLC-40,USA,NRL,Navigation/GPS,MEO,2,1,0,engine failure,0,0,0,,Cold War,orbital
SL000124,1987-12-15,1987,12,Lambda 4S,Uchinoura Space Center,Japan,ISAS,Lunar,Interplanetary,3,1,0,structural failure,0,0,0,,Cold War,orbital
SL000125,1964-08-10,1964,8,Titan III,Cape Canaveral SLC-40,USA,USAF,Human Spaceflight,ISS,5178,1,1,,1,3,0,,Cold War,orbital
SL000126,1991-06-07,1991,6,Saturn V,Kennedy Space Center LC-39A,USA,NASA,Human Spaceflight,LEO,36072,1,1,,1,4,0,,Cold War,orbital
SL000127,1982-01-08,1982,1,Ariane 1,Guiana Space Centre ELA-3,Europe,CNES,Interplanetary,Interplanetary,339,1,1,,0,0,0,,Cold War,orbital
SL000128,1971-09-24,1971,9,Saturn IB,Cape Canaveral SLC-40,USA,NASA,Defense/Intelligence,LEO,3095,1,1,,0,0,0,,Cold War,orbital
SL000129,1969-05-01,1969,5,Saturn V,Cape Canaveral SLC-40,USA,NASA,Navigation/GPS,MEO,25585,1,1,,0,0,0,,Cold War,orbital
SL000130,1998-12-01,1998,12,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Defense/Intelligence,LEO,19,1,1,,0,0,0,,Cold War,orbital
SL000131,1973-08-07,1973,8,Long March 1,Xichang Satellite Launch,China,CASC,Scientific,SSO,32,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000132,2022-01-16,2022,1,Mu-4S,Tanegashima Space Center,Japan,ISAS,Earth Observation,SSO,89,1,1,,0,0,0,,Cold War,orbital
SL000133,1998-09-28,1998,9,Atlas-Centaur,Cape Canaveral SLC-40,USA,GD,Earth Observation,SSO,1205,1,0,structural failure,0,0,0,,Cold War,orbital
SL000134,1983-06-02,1983,6,Cyclone-2,Plesetsk Cosmodrome,USSR,Yuzhnoye,Lunar,TLI,1385,1,1,,0,0,0,,Cold War,orbital
SL000135,1999-09-04,1999,9,Rokot,Plesetsk Cosmodrome,Russia,Khrunichev,Earth Observation,LEO,843,1,1,,0,0,0,47.4,Post-Soviet,orbital
SL000136,1962-07-25,1962,7,Vostok-K,Plesetsk Cosmodrome,USSR,OKB-1,Human Spaceflight,ISS,633,1,0,range safety,1,2,0,,Cold War,orbital
SL000137,2023-10-23,2023,10,Long March 2C,Xichang Satellite Launch,China,CASC,Space Station Resupply,ISS,1849,1,1,,0,0,0,14.4,Modern,orbital
SL000138,1991-11-05,1991,11,Thor-Delta,Wallops Flight Facility,USA,NASA,Space Telescope,SSO,35,1,1,,0,0,0,,Cold War,orbital
SL000139,2015-10-10,2015,10,Ariane 4,Kapustin Yar,Other,Arianespace,Weather,HEO,1253,1,1,,0,0,0,,Post-Cold War,orbital
SL000140,1967-01-18,1967,1,Vanguard,Cape Canaveral SLC-41,USA,NRL,Communications,GTO,2,1,1,,0,0,0,,Cold War,orbital
SL000141,1991-07-24,1991,7,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Interplanetary,Interplanetary,5541,1,1,,0,0,0,102.8,Modern,orbital
SL000142,1991-05-25,1991,5,Vanguard,Cape Canaveral SLC-40,USA,NRL,Military Reconnaissance,SSO,1,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000143,2023-11-16,2023,11,Soyuz-2.1a,Baikonur Cosmodrome,Russia,TsSKB,Astronomy,LEO,2696,1,0,engine failure,0,0,0,47.1,Modern,orbital
SL000144,1997-04-05,1997,4,Ariane 5 ECA,Kourou ELS (Vega),Europe,Arianespace,Lunar,Interplanetary,6361,1,1,,0,0,0,199.6,Modern,orbital
SL000145,1990-11-05,1990,11,Juno I,Mahia Peninsula LC-1,USA,Army,Navigation/GPS,MEO,4,1,0,engine failure,0,0,0,,Cold War,orbital
SL000146,1979-11-09,1979,11,Ariane 1,Kourou ELS (Vega),Europe,CNES,Scientific,SSO,386,1,1,,0,0,0,,Cold War,orbital
SL000147,1982-08-13,1982,8,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Defense/Intelligence,SSO,93,1,1,,0,0,0,,Cold War,orbital
SL000148,1993-04-15,1993,4,Soyuz-ST,Baikonur Cosmodrome,Russia,TsSKB,Human Spaceflight,LEO,1121,1,1,,1,4,0,73.3,Modern,orbital
SL000149,1988-01-19,1988,1,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Defense/Intelligence,LEO,10477,1,0,engine failure,0,0,0,,Cold War,orbital
SL000150,1962-08-14,1962,8,Vostok-K,Kapustin Yar,USSR,OKB-1,Scientific,HEO,727,1,1,,0,0,0,,Cold War,orbital
SL000151,2018-01-14,2018,1,Minotaur IV,Vandenberg SFB SLC-4E,USA,Orbital ATK,Commercial Satellite,LEO,506,1,1,,0,0,0,54.8,Modern,orbital
SL000152,2021-12-13,2021,12,Delta IV Medium,Cape Canaveral SLC-40,USA,Boeing,Space Telescope,SSO,2037,1,1,,0,0,0,205.5,Modern,orbital
SL000153,1971-02-11,1971,2,Titan III,Cape Canaveral SLC-41,USA,USAF,Earth Observation,GEO,2783,1,0,engine failure,0,0,0,,Cold War,orbital
SL000154,1996-02-24,1996,2,Titan IV,Vandenberg SFB SLC-4E,USA,Lockheed,Commercial Satellite,LEO,1783,1,1,,0,0,0,450.2,Post-Cold War,orbital
SL000155,1969-06-11,1969,6,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Human Spaceflight,LEO,2360,1,1,,1,4,0,,Cold War,orbital
SL000156,2007-02-12,2007,2,Soyuz-2.1b,Baikonur Cosmodrome,Russia,TsSKB,Scientific,GEO,1715,1,1,,0,0,0,52.6,Modern,orbital
SL000157,1980-02-21,1980,2,Proton-K,Baikonur Cosmodrome,USSR,Khrunichev,Interplanetary,Interplanetary,3149,1,1,,0,0,0,,Cold War,orbital
SL000158,2006-06-23,2006,6,Minotaur I,SpaceX Starbase (Boca Chica),USA,Orbital ATK,Commercial Satellite,MEO,90,1,1,,0,0,0,30.5,Modern,orbital
SL000159,2011-02-04,2011,2,Vanguard,Kennedy Space Center LC-39A,USA,NRL,Commercial Satellite,GTO,1,1,0,engine failure,0,0,0,,Cold War,orbital
SL000160,2014-10-16,2014,10,Jupiter-C,SpaceX Starbase (Boca Chica),USA,Army,Weather,SSO,2,1,0,range safety,0,0,0,,Cold War,suborbital
SL000161,1969-11-16,1969,11,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Defense/Intelligence,SSO,9016,1,0,range safety,0,0,0,,Cold War,orbital
SL000162,2022-05-06,2022,5,Pegasus XL,Kennedy Space Center LC-39A,USA,Orbital Sciences,Human Spaceflight,LEO,77,1,1,,1,5,0,46.1,Post-Cold War,air-launch
SL000163,1977-01-03,1977,1,Vostok-K,Kapustin Yar,USSR,OKB-1,Scientific,GEO,1676,1,1,,0,0,0,,Cold War,orbital
SL000164,1964-07-18,1964,7,Sputnik (R-7),Kapustin Yar,USSR,OKB-1,Human Spaceflight,ISS,71,1,0,guidance failure,1,2,0,,Cold War,orbital
SL000165,1996-10-09,1996,10,Rokot,Svobodny / Vostochny,Russia,Khrunichev,Defense/Intelligence,HEO,404,1,1,,0,0,0,51.2,Post-Soviet,orbital
SL000166,1985-02-07,1985,2,Jupiter-C,Wallops Flight Facility,USA,Army,Space Station Module,ISS,4,1,1,,0,0,0,,Cold War,suborbital
